aware_open_research,aware_study_preregistration,aware_registered_reports,aware_open_materials,aware_open_data,aware_open_code,aware_preprints,aware_open_peer_review,aware_open_access_publication,aware_replication_studies,aware_research_co_production,used_open_research,used_study_preregistration,used_registered_reports,used_open_materials,used_open_data,used_open_code,used_preprints,used_open_peer_review,used_open_access_publication,used_replication_studies,used_research_co_production,discipline
NA,NA,NA,NA,NA,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,NA,NA,NA,NA,I've not used this,NA,I've not used this,I've not used this,I've used this,Engineering and technology
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,"Agriculture, food and related studies"
I'm aware of this,NA,NA,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,NA,NA,NA,I've not used this,NA,I've used this,I've used this,I've used this,I've not used this,I've used this,Social sciences
I'm aware of this,NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,NA,NA,NA,I've used this,I've used this,I've not used this,Not applicable to my research,Not applicable to my research,I've not used this,I've used this,Subjects allied to medicine
I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,I'm aware of this,NA,NA,I've used this,NA,NA,I've used this,I've not used this,NA,I've used this,NA,I've used this,NA,NA,Biological and sport sciences
NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've not used this,NA,I've used this,I've not used this,I've used this,I've used this,I've not used this,I've used this,I've not used this,I've not used this,Social sciences
NA,NA,NA,NA,NA,NA,NA,NA,I'm aware of this,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I've used this,NA,NA,Medicine & dentistry
I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I've not used this,NA,NA,I've not used this,I've not used this,NA,I've used this,I've not used this,I've used this,NA,I've not used this,Social sciences
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've not used this,NA,Psychology
NA,NA,NA,NA,NA,NA,NA,NA,I'm aware of this,NA,I'm aware of this,NA,NA,NA,NA,NA,NA,NA,NA,I've used this,NA,I've used this,Business and management
NA,NA,NA,NA,NA,NA,I'm aware of this,NA,I'm aware of this,NA,NA,NA,NA,NA,NA,NA,NA,I've not used this,NA,I've not used this,NA,NA,General and others in sciences
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,NA,I've used this,I've used this,I've used this,I've used this,Engineering and technology
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've not used this,NA,Psychology
NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I've used this,I've not used this,NA,I've used this,I've used this,I've not used this,I've not used this,I've used this,I've not used this,NA,Education and teaching
NA,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,Not applicable to my research,NA,NA,Not applicable to my research,Not applicable to my research,NA,Not applicable to my research,I've used this,I've not used this,I've not used this,Education and teaching
I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,NA,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,NA,Psychology
I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,NA,NA,NA,NA,NA,I'm aware of this,I've used this,NA,NA,I've used this,I've not used this,NA,NA,NA,NA,NA,I've used this,Creative arts and design
NA,NA,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,NA,NA,NA,I've not used this,I've not used this,NA,I've used this,I've used this,I've used this,NA,NA,Engineering and technology
I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,NA,I've used this,I've used this,Not applicable to my research,I've used this,I've used this,I've used this,I've used this,Not applicable to my research,Biological and sport sciences
I'm aware of this,NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,NA,NA,NA,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,Biological and sport sciences
NA,I'm aware of this,I'm aware of this,NA,NA,NA,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,I've used this,I've used this,NA,NA,NA,NA,I've used this,I've used this,NA,I've used this,Language and area studies
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've not used this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,NA,Psychology
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've not used this,I've used this,I've not used this,I've not used this,I've not used this,NA,I've used this,I've not used this,I've used this,I've not used this,NA,Psychology
NA,NA,NA,NA,NA,NA,NA,NA,I'm aware of this,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I've used this,NA,NA,Medicine & dentistry
I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,NA,I've used this,I've not used this,I've not used this,I've not used this,I've used this,I've used this,I've not used this,I've used this,Social sciences
NA,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,NA,NA,I've used this,NA,NA,I've used this,I've used this,I've used this,NA,I've used this,NA,NA,Subjects allied to medicine
I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I've used this,Not applicable to my research,NA,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,NA,NA,Physical sciences
I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,I've not used this,NA,I've not used this,I've not used this,I've not used this,NA,I've not used this,I've not used this,I've not used this,I've not used this,Subjects allied to medicine
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've used this,Psychology
I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've not used this,I've not used this,NA,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,NA,Veterinary sciences
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,Biological and sport sciences
NA,NA,NA,NA,NA,NA,I'm aware of this,NA,I'm aware of this,NA,NA,NA,NA,NA,NA,NA,NA,I've not used this,NA,I've used this,NA,NA,Physical sciences
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've not used this,NA,Psychology
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've not used this,I've not used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've not used this,NA,Medicine & dentistry
NA,NA,NA,I'm aware of this,I'm aware of this,NA,NA,NA,NA,NA,NA,NA,NA,NA,I've used this,I've used this,NA,NA,NA,NA,NA,NA,Language and area studies
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've used this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,Psychology
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've not used this,I've used this,Medicine & dentistry
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,Language and area studies
NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,NA,NA,I've not used this,I've not used this,I've used this,I've used this,I've not used this,I've not used this,NA,I've used this,NA,NA,Psychology
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've used this,Medicine & dentistry
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,Social sciences
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,Psychology
NA,NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,NA,NA,NA,NA,NA,Not applicable to my research,I've used this,I've used this,NA,I've used this,NA,NA,Mathematical sciences
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,I've not used this,I've used this,I've not used this,NA,Subjects allied to medicine
I'm aware of this,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've not used this,Not applicable to my research,NA,NA,I've not used this,I've used this,I've used this,I've not used this,I've used this,I've not used this,NA,Computing
NA,I'm aware of this,NA,I'm aware of this,NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've not used this,NA,I've not used this,NA,NA,NA,I've not used this,I've not used this,Not applicable to my research,I've not used this,Social sciences
NA,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,NA,I've not used this,NA,I've used this,I've used this,I've used this,I've not used this,I've used this,NA,I've not used this,Engineering and technology
I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,NA,NA,I've used this,I've used this,NA,I've used this,I've used this,I've used this,I've used this,I've not used this,Subjects allied to medicine
NA,NA,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,I'm aware of this,NA,NA,NA,NA,NA,I've used this,I've used this,NA,I've used this,NA,I've used this,NA,NA,"Agriculture, food and related studies"
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,Medicine & dentistry
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've not used this,I've not used this,I've used this,NA,I've not used this,I've used this,I've used this,I've not used this,NA,Medicine & dentistry
NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,NA,NA,NA,NA,NA,Not applicable to my research,I've used this,I've used this,NA,I've used this,I've used this,NA,NA,Engineering and technology
I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,NA,NA,Not applicable to my research,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,Not applicable to my research,Physical sciences
I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I've not used this,NA,NA,I've not used this,I've not used this,Not applicable to my research,I've not used this,I've not used this,I've used this,NA,NA,Engineering and technology
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've not used this,I've not used this,I've used this,I've not used this,NA,I've not used this,I've used this,I've used this,I've not used this,NA,Physical sciences
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've not used this,I've not used this,"Architecture, building and planning"
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've not used this,NA,Psychology
I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,Not applicable to my research,NA,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,NA,Social sciences
I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,NA,I've used this,NA,NA,I've not used this,NA,I've not used this,I've not used this,NA,Psychology
I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,NA,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,Psychology
NA,NA,NA,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,NA,NA,NA,NA,I've not used this,NA,I've used this,I've used this,I've used this,NA,NA,Biological and sport sciences
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,Psychology
I'm aware of this,I'm aware of this,NA,NA,NA,NA,I'm aware of this,NA,NA,NA,NA,I've not used this,I've not used this,NA,NA,NA,NA,I've not used this,NA,NA,NA,NA,Psychology
I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,NA,I've used this,I've used this,NA,I've used this,I've used this,I've used this,I've used this,I've used this,Psychology
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this,Psychology
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,Not applicable to my research,I've used this,I've used this,I've used this,I've used this,NA,I've not used this,NA,I've used this,I've used this,I've used this,Humanities and liberal arts (non-specific)
NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I've not used this,Not applicable to my research,I've used this,I've not used this,I've not used this,I've not used this,I've not used this,I've used this,I've not used this,NA,Biological and sport sciences
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've not used this,I've not used this,Psychology
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,Medicine & dentistry
I'm aware of this,NA,NA,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've not used this,NA,NA,I've not used this,NA,NA,I've not used this,I've not used this,I've used this,I've not used this,NA,Subjects allied to medicine
I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,NA,I've not used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,I've used this,Medicine & dentistry
I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I've not used this,NA,NA,Not applicable to my research,Not applicable to my research,Not applicable to my research,I've not used this,I've not used this,I've used this,NA,I've not used this,"Historical, philosophical and religious studies"
I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,Not applicable to my research,NA,NA,I've used this,Not applicable to my research,Not applicable to my research,I've used this,Not applicable to my research,Not applicable to my research,Not applicable to my research,I've used this,Subjects allied to medicine
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've not used this,I've used this,I've used this,I've not used this,Psychology
I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,NA,I've used this,I've used this,I've used this,NA,NA,I've used this,I've used this,I've used this,NA,Medicine & dentistry
I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,I'm aware of this,NA,I'm aware of this,I've used this,NA,NA,I've used this,I've used this,NA,I've not used this,NA,I've used this,NA,I've used this,Education and teaching
I'm aware of this,NA,NA,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I've not used this,NA,NA,NA,I've used this,NA,I've not used this,I've used this,I've used this,NA,NA,Geographical and environmental studies
I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,I'm aware of this,I've used this,NA,NA,I've used this,I've used this,I've used this,I've not used this,NA,I've not used this,NA,I've used this,"Architecture, building and planning"
NA,NA,NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,NA,NA,I've used this,I've not used this,NA,I've not used this,I've not used this,I've used this,I've not used this,NA,Social sciences
I'm aware of this,NA,NA,NA,I'm aware of this,NA,NA,NA,I'm aware of this,NA,NA,Not applicable to my research,NA,NA,NA,Not applicable to my research,NA,NA,NA,I've used this,NA,NA,Humanities and liberal arts (non-specific)
NA,NA,NA,NA,NA,NA,NA,I'm aware of this,I'm aware of this,NA,NA,NA,NA,NA,NA,NA,NA,NA,I've not used this,I've used this,NA,NA,General and others in sciences
NA,NA,NA,I'm aware of this,NA,NA,I'm aware of this,NA,I'm aware of this,NA,NA,NA,NA,NA,I've used this,NA,NA,I've used this,NA,I've used this,NA,NA,Language and area studies
NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,NA,NA,NA,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this,NA,I've not used this,NA,NA,Engineering and technology
I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,I've used this,NA,I've not used this,I've used this,Not applicable to my research,I've not used this,I've used this,I've used this,I've not used this,I've not used this,Psychology
I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,NA,NA,I've used this,I've used this,I've used this,I've used this,NA,I've used this,I've not used this,I've used this,Physical sciences
NA,NA,NA,NA,I'm aware of this,NA,NA,NA,I'm aware of this,NA,NA,NA,NA,NA,NA,I've used this,NA,NA,NA,I've used this,NA,NA,Geographical and environmental studies
NA,NA,NA,NA,NA,NA,NA,NA,I'm aware of this,NA,I'm aware of this,NA,NA,NA,NA,NA,NA,NA,NA,I've used this,NA,I've used this,Social sciences
NA,I'm aware of this,I'm aware of this,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've not used this,NA,I've not used this,NA,I've used this,I've not used this,I've not used this,I've not used this,I've used this,Psychology
NA,NA,NA,NA,NA,NA,NA,NA,I'm aware of this,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I've not used this,NA,NA,Business and management
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've not used this,Social sciences
I'm aware of this,NA,NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I'm aware of this,I've not used this,NA,NA,I've not used this,NA,I've used this,I've used this,I've used this,NA,NA,I've used this,Biological and sport sciences
NA,I'm aware of this,NA,I'm aware of this,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,NA,NA,NA,I've not used this,NA,I've used this,I've used this,NA,NA,I've used this,I've used this,NA,NA,Combined and general studies
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've not used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've not used this,I've not used this,Psychology
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've used this,NA,Psychology
NA,NA,NA,NA,NA,NA,I'm aware of this,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I've not used this,NA,NA,NA,NA,Biological and sport sciences
NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,I'm aware of this,NA,I'm aware of this,NA,NA,I've used this,I've used this,Not applicable to my research,Not applicable to my research,NA,NA,I've used this,NA,Not applicable to my research,Education and teaching
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've used this,I've used this,Not applicable to my research,I've not used this,I've not used this,I've used this,I've not used this,I've used this,Education and teaching
I'm aware of this,NA,I'm aware of this,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,NA,I've not used this,Not applicable to my research,NA,NA,I've used this,I've used this,I've used this,I've not used this,I've used this,Biological and sport sciences
NA,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,NA,NA,NA,NA,I've used this,I've used this,I've used this,I've not used this,I've not used this,I've used this,NA,NA,Biological and sport sciences
I'm aware of this,NA,I'm aware of this,NA,NA,NA,NA,NA,NA,NA,I'm aware of this,I've used this,NA,I've not used this,NA,NA,NA,NA,NA,NA,NA,I've not used this,Humanities and liberal arts (non-specific)
I'm aware of this,NA,NA,I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,NA,NA,I've not used this,NA,NA,I've not used this,I've used this,I've used this,I've used this,I've used this,Biological and sport sciences
I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've not used this,I've not used this,NA,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've not used this,NA,Engineering and technology
I'm aware of this,I'm aware of this,NA,NA,NA,NA,NA,NA,NA,NA,NA,I've used this,I've used this,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medicine & dentistry
NA,NA,NA,NA,NA,NA,I'm aware of this,NA,I'm aware of this,NA,I'm aware of this,NA,NA,NA,NA,NA,NA,I've used this,NA,I've used this,NA,I've used this,Physical sciences
I'm aware of this,NA,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,NA,NA,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,Physical sciences
I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've not used this,I've not used this,I've used this,I've not used this,I've used this,I've not used this,I've not used this,I've not used this,Psychology
